Code,Description,Category,Active,Unit,Retail - Exclusive,Retail - Inclusive,Wholesale - Exclusive,Wholesale - Inclusive,Physical,Text User Field 1,Text User Field 2,Text User Field 3,Numeric User Field 1,Numeric User Field 2,Numeric User Field 3,Date User Field 1,Date User Field 2,Date User Field 3,Yes/No User Field 1,Yes/No User Field 2,Yes/No User Field 3,VAT Type Sales,VAT Type Purchases,Cost,Quantity,Sales Account,Purchases Account
VIPERPLUS-10,"Dromex Category Iii Shoulder Length Vipe Plus, Chemical Glove",,True,1,104.0,119.6,100.0,115.0,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
H1-40-BLKO,"Dromex Industrial Rubber Gloves Smooth Palm, Rolled Cuff, Elbow Length",,True,1,30.745,35.35675,29.5625,34.0,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
H2-40-BLKO,"Dromex Industrial Rubber Gloves Rough Palm, Rolled Cuff, Elbow Length",,True,1,39.325,45.22375,37.8125,43.48,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
H2-55-BLKO,"Dromex Industrial Rubber Gloves Rough Palm, Rolled Cuff, Shoulder Length",,True,1,50.05,57.5575,48.125,55.34,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
55LF-7,"Dromex Food Series Glove TaeKi5 Heat & Cut, Food Glove",,True,1,78.65,90.4475,75.625,86.97,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
55LF-8,"Dromex Food Series Glove TaeKi5 Heat & Cut, Food Glove",,True,1,78.65,90.4475,75.625,86.97,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
55LF-9,"Dromex Food Series Glove TaeKi5 Heat & Cut, Food Glove",,True,1,78.65,90.4475,75.625,86.97,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
55LF-10,"Dromex Food Series Glove TaeKi5 Heat & Cut, Food Glove",,True,1,78.65,90.4475,75.625,86.97,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
55LF-11,"Dromex Food Series Glove TaeKi5 Heat & Cut, Food Glove",,True,1,78.65,90.4475,75.625,86.97,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
RTCMG-XS-G,Dromex Chain Mail Wrist Length 5 Finger Ambidextrous 5 Finger Wrist Length (Cuff),,True,1,1444.0,1660.6,1502.0,1727.3,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
RTCMG-S-G,Dromex Chain Mail Wrist Length 5 Finger Ambidextrous 5 Finger Wrist Length (Cuff),,True,1,1444.0,1660.6,1502.0,1727.3,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
RTCMG-M-G,Dromex Chain Mail Wrist Length 5 Finger Ambidextrous 5 Finger Wrist Length (Cuff),,True,1,1444.0,1660.6,1502.0,1727.3,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
RTCMG-L-G,Dromex Chain Mail Wrist Length 5 Finger Ambidextrous 5 Finger Wrist Length (Cuff),,True,1,1444.0,1660.6,1502.0,1727.3,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
RTCMG-XL-G,Dromex Chain Mail Wrist Length 5 Finger Ambidextrous 5 Finger Wrist Length (Cuff),,True,1,1444.0,1660.6,1502.0,1727.3,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
50-135TY,"Dromex Seamless Heat & Cut Resistant Sleeve ( Ø) Sleeve, Long with Thumb Hole",,True,1,50.05,57.5575,48.125,55.34,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
50-60THV,Dromex Seamless Heat & Cut Resistang Hi Viz Sleeve,,True,1,78.65,90.4475,75.625,86.97,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
TAEKI-APRON-60120,Dromex Heat and Cut Resistant Apron with Adjustable Straps Taeki5 Cut & Heat Apron 60x120cm - Fully,,True,1,772.0,887.8,743.0,854.45,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
TAEKI-JACKET,"Dromex Heat and Cut Resistant Head, Neck & Body Protection - Taeki5 Cut & Heat Jacket with Hood",,True,1,2059.0,2367.85,1980.0,2277.0,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
MIIZU300BLU-7-B,Dromex Water Based PU and Micro Foam Palm Coated - MIIZU300,,True,1,15.3725,17.678375,14.78125,17.0,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
MIIZU300BLU-8-B,Dromex Water Based PU and Micro Foam Palm Coated - MIIZU300,,True,1,15.3725,17.678375,14.78125,17.0,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
MIIZU300BLU-9-B,Dromex Water Based PU and Micro Foam Palm Coated - MIIZU300,,True,1,15.3725,17.678375,14.78125,17.0,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
MIIZU300BLU-10-B,Dromex Water Based PU and Micro Foam Palm Coated - MIIZU300,,True,1,15.3725,17.678375,14.78125,17.0,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
MIIZU300BLU-11-B,Dromex Water Based PU and Micro Foam Palm Coated - MIIZU300,,True,1,15.3725,17.678375,14.78125,17.0,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
MIIZU300HI-6-G,Dromex Mizu 300HI - Hi Viz Gloves Seamless - Wear Based PU and Nitirle Micro Foam Palm Coated Miizu,,True,1,15.3725,17.678375,14.78125,17.0,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
MIIZU300HI-7-G,Dromex Mizu 300HI - Hi Viz Gloves Seamless - Wear Based PU and Nitirle Micro Foam Palm Coated Miizu,,True,1,15.3725,17.678375,14.78125,17.0,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
MIIZU300HI-8-G,Dromex Mizu 300HI - Hi Viz Gloves Seamless - Wear Based PU and Nitirle Micro Foam Palm Coated Miizu,,True,1,15.3725,17.678375,14.78125,17.0,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
MIIZU300HI-9-G,Dromex Mizu 300HI - Hi Viz Gloves Seamless - Wear Based PU and Nitirle Micro Foam Palm Coated Miizu,,True,1,15.3725,17.678375,14.78125,17.0,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
