product_slug,sku,name,Categories,categories_slug,category_slug,Brand,brand_slug_origenal,Image URL,Attributes_origenal,attributes,Price,Regular Price,Sale Price,type,images,variant,description,short_description,stock,brand_slug
sharps-bin-medical-waste-containers-10l,OM-SB-10L,Sharps Bin Medical Waste Containers 10L,"Medical, Medical, Safety &amp; Equipment, Waste Bins","medical-medical, medical, safety-equipment-medical, waste-bins",medical-medical,Medical Disposal,medical-disposal,https://uvhholdings.co.za/wp-content/uploads/2026/02/Sharps-Bin-Medical-Waste-Containers-10L.png,['Size: 10L\nColour: Yellow'],"{""Size"": ""10L"", ""Colour"": ""Yellow""}",69.72,69.72,,0,/02/Sharps-Bin-Medical-Waste-Containers-10L.png,0,,,0,medical-disposal
sharps-bin-medical-waste-containers-5l,OM-SB-5L,Sharps Bin Medical Waste Containers 5L,"Medical, Medical, Safety &amp; Equipment, Waste Bins","medical, medical-medical, safety-equipment-medical, waste-bins",medical,Medical Disposal,medical-disposal,https://uvhholdings.co.za/wp-content/uploads/2026/02/Sharps-Bin-Medical-Waste-Containers-5L.webp,['Size: 5L\nColour: Yellow'],"{""Size"": ""5L"", ""Colour"": ""Yellow""}",63.58,63.58,,0,/02/Sharps-Bin-Medical-Waste-Containers-5L.webp,0,,,0,medical-disposal
sharps-bin-medical-waste-containers-25l,OM-SB-2.5L,Sharps Bin Medical Waste Containers 2.5L,"Medical, Medical, Safety &amp; Equipment, Waste Bins","medical-medical, medical, safety-equipment-medical, waste-bins",medical-medical,Medical Disposal,medical-disposal,https://uvhholdings.co.za/wp-content/uploads/2026/02/Sharps-Bin-Medical-Waste-Containers-2-5L.png,"['Size: 2', '5L\r\nColour: Yellow']","{""Size"": ""2"", ""Colour"": ""Yellow""}",61.25,61.25,,0,/02/Sharps-Bin-Medical-Waste-Containers-2-5L.png,1,,,0,medical-disposal
sharps-bin-medical-waste-containers-25l,OM-SB-2.5L-2,Sharps Bin Medical Waste Containers 2.5L,"Medical, Medical, Safety &amp; Equipment, Waste Bins","medical-medical, medical, safety-equipment-medical, waste-bins",medical-medical,Medical Disposal,medical-disposal,https://uvhholdings.co.za/wp-content/uploads/2026/02/Sharps-Bin-Medical-Waste-Containers-2-5L.png,"['Size: 2', '5L\r\nColour: Yellow']","{""Size"": ""5L"", ""Colour"": ""Yellow""}",61.25,61.25,,0,/02/Sharps-Bin-Medical-Waste-Containers-2-5L.png,2,,,0,medical-disposal
sharps-bin-medical-waste-containers-1l,OM-SB-1L,Sharps Bin Medical Waste Containers 1L,"Medical, Medical, Safety &amp; Equipment, Waste Bins","medical, medical-medical, safety-equipment-medical, waste-bins",medical,Medical Disposal,medical-disposal,https://uvhholdings.co.za/wp-content/uploads/2026/02/Sharps-Bin-Medical-Waste-Containers-1L.png,['Size: 1L\r\nColour: Yellow'],"{""Size"": ""1L"", ""Colour"": ""Yellow""}",46.31,46.31,,0,/02/Sharps-Bin-Medical-Waste-Containers-1L.png,0,,,0,medical-disposal
aluminium-kevlar-fire-heat-resist-glove,13-100070,ALUMINIUM KEVLAR FIRE & HEAT RESIST GLOVE,"Gloves, Workwear &amp; PPE","gloves, workwear-ppe",gloves,Pinnacle,pinnacle,https://uvhholdings.co.za/wp-content/uploads/2026/02/Aluminium-Kevlar-Glove.png,['Colour: Silver/Yellow'],"{""Colour"": ""Silver/Yellow""}",315,315,,0,/02/Aluminium-Kevlar-Glove.png,0,,,0,pinnacle
white-polo-rag-100-cotton-5kg-pack,13-100501,White Polo Rag 100% cotton ( 5KG PACK),"Cleaning, Rags","cleaning, rags",cleaning,Pinnacle,pinnacle,https://uvhholdings.co.za/wp-content/uploads/2026/02/White-Polo-Rag-100cotton5KG-PACK.webp,"['White Polo Rag 100% cotton ( 5KG PACK) - 5kg by Pinnacle - professional product designed for specific applications. Contact supplier for detailed specifications', 'usage guidelines', 'and technical information.']","{""Size"": ""White Polo Rag 100% cotton ( 5KG PACK) - 5kg by Pinnacle - professional product designed for specific applications. Contact supplier for detailed specifications""}",52,52,,0,/02/White-Polo-Rag-100cotton5KG-PACK.webp,1,,,0,pinnacle
white-polo-rag-100-cotton-5kg-pack,13-100501-2,White Polo Rag 100% cotton ( 5KG PACK),"Cleaning, Rags","cleaning, rags",cleaning,Pinnacle,pinnacle,https://uvhholdings.co.za/wp-content/uploads/2026/02/White-Polo-Rag-100cotton5KG-PACK.webp,"['White Polo Rag 100% cotton ( 5KG PACK) - 5kg by Pinnacle - professional product designed for specific applications. Contact supplier for detailed specifications', 'usage guidelines', 'and technical information.']","{""Attribute"": ""usage guidelines"", ""Size"": ""White Polo Rag 100% cotton ( 5KG PACK) - 5kg by Pinnacle - professional product designed for specific applications. Contact supplier for detailed specifications""}",52,52,,0,/02/White-Polo-Rag-100cotton5KG-PACK.webp,2,,,0,pinnacle
white-polo-rag-100-cotton-5kg-pack,13-100501-3,White Polo Rag 100% cotton ( 5KG PACK),"Cleaning, Rags","cleaning, rags",cleaning,Pinnacle,pinnacle,https://uvhholdings.co.za/wp-content/uploads/2026/02/White-Polo-Rag-100cotton5KG-PACK.webp,"['White Polo Rag 100% cotton ( 5KG PACK) - 5kg by Pinnacle - professional product designed for specific applications. Contact supplier for detailed specifications', 'usage guidelines', 'and technical information.']","{""Attribute"": ""and technical information."", ""Size"": ""White Polo Rag 100% cotton ( 5KG PACK) - 5kg by Pinnacle - professional product designed for specific applications. Contact supplier for detailed specifications""}",52,52,,0,/02/White-Polo-Rag-100cotton5KG-PACK.webp,2,,,0,pinnacle
beard-cover-white-min-order-1000box,13-100265,Beard Cover White  ( min order 1000/box),"Protective Wear, Workwear &amp; PPE","protective-wear, workwear-ppe",protective-wear,Pinnacle,pinnacle,https://uvhholdings.co.za/wp-content/uploads/2026/02/Beard-Cover-Whitemin-order-1000box.webp,,{},,,,0,/02/Beard-Cover-Whitemin-order-1000box.webp,0,,,0,pinnacle
