sku,retail_price,wholesale_price
PVC-APRON-600G,49,49
PVC-APRON-HDY,49,49
PVC-APRON-HD,49,49
A100-2XL,850,850
A012-2XL-3XL,439,439
A012M-XL,439,439
A022-4XL,439,439
A022XXL-3XL,439,439
A022M-XL,439,439
A014,329,329
A013,259,259
A023-3XL,1350,1350
A023-2XL,1350,1350
A023-XL,1350,1350
A023-L,1350,1350
A018B,159,159
A018,139,139
A015-4XL,249,249
A015-3XL,249,249
A015-2XL,249,249
A015-M-XL,249,249
A017,55,55
A016,105,105
V019,109,109
R001,159,159
RCN,125,125
RCO,125,125
RCY,125,125
RRO,198,198
RRL,198,198
RRY,195,195
RRN,195,195
PONCHO-NAVY,95,95
RBK,169,169
RG,169,169
RY,169,169
RN,169,169
RN-Dro1,169,169
R007,750,750
R006,498,498
R004,249,249
R005,249,249
EV004,415,415
EV003,415,415
PT003,879,879
PT002,739,739
PT001,739,739
EV001,659,659
PW002,629,629
PW001,629,629
V009,298,298
V008,498,498
V010,1290,1290
V007,795,795
V006,795,795
V002,765,765
V001,765,765
V046,839,839
V045,839,839
V044,839,839
V043,839,839
V005,798,798
V004,798,798
V003,798,798
O,50,50
V026Lime,50,50
V026,193,193
V039,289,289
V030,279,279
V027,189,189
V025,198,198
V051,495,495
V050,495,495
V036,189,189
V035,189,189
V038,98,98
V037,47,47
V031Y,65,65
V024Y,65,65
V042,198,198
V032,69,69
V041,69,69
V034,69,69
V033,69,69
V018,69,69
V013,69,69
V022,69,69
V021,69,69
V020,69,69
V023O,55,55
V040,69,69
V017-Y,39,39
V016-Y,79,79
V015-O,29,29
V015-Y,29,29
V014-O,27,27
V014-Y,27,27
13-1004863,35,35
13-1004862,125,125
13-1004861,39,39
13-100486,31,31
13-DOTSCO6,140,140
13-DOTSCO6-2,140,140
13-DOTSCO6-3,140,140
13-DOTSCO6-4,140,140
13-DOTSCO6-5,140,140
13-DOTSCO6-6,140,140
13-DOTSCO6-7,140,140
13-DOTLEO06,133,133
13-DOTLEO06-2,133,133
13-DOTLEO06-3,133,133
13-DOTLEO06-4,133,133
13-DOTLEO06-5,133,133
13-DOTLEO06-6,133,133
13-DOTLEO06-7,133,133
13-DOTGE4,98,98
13-DOTGE4-2,98,98
13-DOTGE4-3,98,98
13-DOTGE4-4,98,98
13-DOTGE4-5,98,98
13-DOTGE4-6,98,98
13-DOTGE4-7,98,98
13-DOTGE4-8,98,98
13-DOTGE4-9,98,98
13-STEIN05,644,644
13-STEIN05-2,644,644
13-STEIN05-3,644,644
13-STEIN05-4,644,644
13-STEIN05-5,644,644
13-STEIN05-6,644,644
13-STEIN05-7,644,644
13-RAM03,462,462
13-RAM03-2,462,462
13-RAM03-3,462,462
13-RAM03-4,462,462
13-RAM03-5,462,462
13-RAM03-6,462,462
13-RAM03-7,462,462
13-RAM03-8,462,462
13-RAM03-9,462,462
13-RAM03-10,462,462
13-KURT05,854,854
13-KURT05-2,854,854
13-KURT05-3,854,854
13-KURT05-4,854,854
13-KURT05-5,854,854
13-KURT05-6,854,854
13-KURT05-7,854,854
13-100930,265,265
13-100930-2,265,265
13-100930-3,265,265
13-100930-4,265,265
13-100930-5,265,265
13-100930-6,265,265
13-100930-7,265,265
13-100930-8,265,265
13-SOBR04,630,630
13-SOBR04-2,630,630
13-SOBR04-3,630,630
13-SOBR04-4,630,630
13-SOBR04-5,630,630
13-SOBR04-6,630,630
13-SOBR04-7,630,630
13-SOBR04-8,630,630
13-SOBR04-9,630,630
13-KUKKA04,315,315
13-KUKKA04-2,315,315
13-KUKKA04-3,315,315
13-KUKKA04-4,315,315
13-KUKKA04-5,315,315
13-KUKKA04-6,315,315
13-KUKKA04-7,315,315
13-KUKKA04-8,315,315
13-KUKKA04-9,315,315
13-ROXI03,364,364
13-ROXI03-2,364,364
13-ROXI03-3,364,364
13-ROXI03-4,364,364
13-ROXI03-5,364,364
13-ROXI03-6,364,364
13-SOLO03,588,588
13-SOLO03-2,588,588
13-SOLO03-3,588,588
13-SOLO03-4,588,588
13-SOLO03-5,588,588
13-SOLO03-6,588,588
13-SOLO03-7,588,588
13-SOLO03-8,588,588
13-SOLO03-9,588,588
13-SOLO03-10,588,588
13-KIRI03,237,237
13-KIRI03-2,237,237
13-KIRI03-3,237,237
13-KIRI03-4,237,237
13-KIRI03-5,237,237
13-KIRI03-6,237,237
13-KIRI03-7,237,237
13-KIRI03-8,237,237
13-KIRI03-9,237,237
13-KIRI03-10,237,237
13-ROKO03,259,259
13-ROKO03-2,259,259
13-ROKO03-3,259,259
13-ROKO03-4,259,259
13-ROKO03-5,259,259
13-ROKO03-6,259,259
13-ROKO03-7,259,259
13-ROKO03-8,259,259
13-ROKO03-9,259,259
13-ROKO03-10,259,259
13-ROKL03,245,245
13-ROKL03-2,245,245
13-ROKL03-3,245,245
13-ROKL03-4,245,245
13-ROKL03-5,245,245
13-ROKL03-6,245,245
13-ROKL03-7,245,245
13-ROKL03-8,245,245
13-ROKL03-9,245,245
13-ROKL03-10,245,245
13-AUSTK04,413,413
13-AUSTK04-2,413,413
13-AUSTK04-3,413,413
13-AUSTK04-4,413,413
13-AUSTK04-5,413,413
13-AUSTK04-6,413,413
13-AUSTK04-7,413,413
13-AUSTK04-8,413,413
13-AUSTK04-9,413,413
13-AUST04,413,413
13-AUST04-2,413,413
13-AUST04-3,413,413
13-AUST04-4,413,413
13-AUST04-5,413,413
13-AUST04-6,413,413
13-AUST04-7,413,413
13-AUST04-8,413,413
13-AUST04-9,413,413
13-1003240,17,17
13-100119B,8,8
13-100119A,6,6
13-100119,4,4
13-100118,4,4
13-100342,111,111
13-100341,111,111
13-100338,108,108
13-100337,108,108
13-1003356,55,55
13-1003355,55,55
13-1003352,84,84
13-1003351,84,84
13-100332,10,10
13-100331,10,10
13-100330,10,10
13-100329,10,10
13-100306,24,24
13-1003051,25,25
13-100305,22,22
13-100119C,22,22
13-100117,22,22
13-100324,13,13
13-100327,17,17
13-100348,14,14
13-1003492,70,70
13-1003491,43,43
13-1003501,63,63
13-100350,31,31
13-100334,35,35
13-100333-11,20,20
13-1003252,69,69
13-1003251,55,55
13-100325,42,42
13-1003246,56,56
13-1003245,84,84
13-100323C,38,38
13-100323B,55,55
13-100323A,45,45
13-10032393,77,77
13-10032392,66,66
13-10032391,52,52
13-1003239,36,36
13-10032381,32,32
13-1003238,32,32
13-1003237,38,38
13-1003234,41,41
13-1003233,22,22
13-1003232,14,14
13-1003231,14,14
13-100323,18,18
13-100322,10,10
13-100321,35,35
13-100320,32,32
13-100291,10,10
13-100290,7,7
13-100302,14,14
13-100301,18,18
13-100300,10,10
13-1003274,38,38
13-1003273,41,41
13-1003272,22,22
13-1003032,14,14
13-1003271,14,14
13-1003031,18,18
13-100303,10,10
13-1002991,35,35
13-100299,32,32
13-100296,154,154
Item-No,,
13-100060,966,966
13-1001163,46,46
13-1001162,32,32
13-1001161,36,36
13-100116,24,24
13-1001132,43,43
13-1001131,38,38
13-1001151,55,55
13-100114,64,64
13-100115,39,39
13-100113,76,76
13-100326,84,84
13-100111,34,34
13-100110,48,48
13-100109,81,81
13-100106,45,45
13-100105,60,60
13-100104,115,115
13-1001022,60,60
13-1001031,139,139
13-100103,69,69
13-100102,84,84
13-100101,95,95
13-100081,83,83
13-100080,123,123
13-1001662,223,223
13-1001660,63,63
13-1001641,27,27
13-100164,63,63
13-100166,28,28
13-100165,60,60
13-1001666,73,73
13-1001665,73,73
13-1001664,139,139
13-1001663,139,139
13-1001681,139,139
13-100168,20,20
13-100188,29,29
13-100187,29,29
13-100186,29,29
13-100185,29,29
13-100184,29,29
13-100183,49,49
13-100182,49,49
13-100181,49,49
13-100180,49,49
13-100179,49,49
13-100178,49,49
13-100173,41,41
13-100172,41,41
13-100171,111,111
13-100170,111,111
13-1001693,97,97
13-1001692,97,97
13-100175,80,80
13-100174,80,80
13-1001691,109,109
13-100169,109,109
13-100414B6,31,31
13-100414B5,31,31
13-100414B4,31,31
13-100414B3,31,31
13-100414B2,31,31
13-100414B1,31,31
13-100414A6,77,77
13-100414A5,77,77
13-100414A4,77,77
13-100414A3,77,77
13-100414A2,77,77
13-100414A1,77,77
13-100414,25,25
13-100413,25,25
13-100412,25,25
13-100411,25,25
13-100410,25,25
13-100409,25,25
13-1004081,18,18
13-100408,18,18
13-100407,18,18
13-100406,18,18
13-100405,18,18
13-100404,18,18
13-100403,18,18
13-100402,18,18
13-100401,18,18
13-100400,18,18
13-100390,11,11
13-100163,11,11
13-100162,11,11
13-100161,11,11
13-100160,11,11
13-100158,,
13-100157,,
13-100156,,
13-100155,,
13-100154,,
13-100153,,
13-100152,,
13-100151,,
13-100150,,
13-100146,,
13-1001451,,
13-100145,,
13-100144,,
13-100159,,
13-1001483,,
13-1001482,,
13-1001481,,
13-1001480,,
13-100190,,
13-1004901,,
13-1001351,,
13-100135,,
13-1001353,,
13-100134,13,13
13-100133,595,595
13-100132,3,3
13-100131,2,2
13-100130,3,3
13-1001991,87,87
13-100199,64,64
13-100198,49,49
13-100197,56,56
13-100196,42,42
13-100194,125,125
13-100193,105,105
TEC0097,22,22
13-1001906,21,21
13-1001905,10,10
13-1001904,8,8
13-1001921,21,21
13-100192,5,5
13-100191,3,3
13-100190-Dro1,3,3
13-1005160,112,112
13-1005159,83,83
13-1005158,63,63
13-1005154,91,91
13-100502,41,41
13-100532,637,637
13-100531,139,139
13-100530,42,42
13-100522,812,812
13-100521,224,224
13-100520,42,42
13-1005185,63,63
13-1005191,231,231
13-100519,175,175
13-1005181,182,182
13-100518,105,105
13-100517,119,119
13-100516,91,91
13-10051572,46,46
13-10051571,56,56
13-1005157,343,343
13-1005156,266,266
13-1005155,231,231
13-10051531,280,280
13-1005153,182,182
13-1005151,63,63
13-1005150,70,70
13-100513D,420,420
13-100513C,420,420
13-100513B,420,420
13-100513A,420,420
13-1005152,94,94
13-100515,70,70
13-100514,25,25
13-1005123,94,94
13-100511,266,266
13-100510,266,266
8-100225,2016,2016
13-100852,421,421
13-100851,357,357
13-100850,238,238
13-100801,74,74
13-100701,76,76
13-100605,266,266
13-100604,476,476
13-100603,343,343
13-100602,287,287
13-100601,784,784
13-100600,742,742
13-100485,105,105
13-1004805,36,36
13-1004804,46,46
13-1004803,28,28
13-1004802,36,36
13-1004801,41,41
13-100481,83,83
13-100481-2,83,83
13-100481-3,83,83
13-100481-4,83,83
13-100481-5,83,83
13-100419,168,168
13-100416,98,98
13-100416-2,98,98
13-100416-3,98,98
13-1004233,210,210
13-1004245,98,98
13-1004243,266,266
13-1004242A,210,210
13-1004242,168,168
13-100424,84,84
13-1004231,651,651
13-100423,616,616
13-100422A,546,546
13-100422,406,406
13-100421,378,378
13-100420,350,350
TEC0097-Dro1,28,28
TEC0092,85,85
TEC0091,37,37
TEC0090,10,10
TEC0089,37,37
TEC0088,23,23
TEC0087,48,48
TEC0086,21,21
TEC0085,13,13
TEC0084,13,13
TEC0083,13,13
TEC0082,12,12
TEC008161,22,22
TEC00816,22,22
TEC00815,22,22
TEC00811,23,23
TEC0081,23,23
TEC0080,23,23
TEC00791,21,21
TEC0079,21,21
TEC0078,21,21
TEC00771,101,101
TEC0077,95,95
TEC0076,73,73
TEC0075,62,62
TEC0074,57,57
TEC0073,43,43
TEC0072,51,51
TEC007226,34,34
TEC007222,22,22
TEC007221,100,100
TEC007220,87,87
TEC007219,41,41
TEC007218,34,34
TEC007217,29,29
TEC007216,22,22
TEC007212,43,43
TEC0095,23,23
TEC007206,34,34
TEC007205,21,21
TEC007204,34,34
TEC007203,21,21
TEC007202,22,22
8-100225-Dro1,2793,2793
8-1002181,1078,1078
8-100218,725,725
8-100217,476,476
8-100212,399,399
8-100211,266,266
8-100210,241,241
13-100123,98,98
13-100122,49,49
13-100124-3,181,181
13-100124-3-2,181,181
13-100124-3-3,181,181
13-100124-3-4,181,181
13-100124-3-5,181,181
13-100124-3-6,181,181
13-100121,132,132
13-100120,108,108
13-100127,378,378
13-100127-2,378,378
13-100127-3,378,378
13-100127-4,378,378
13-100137,378,378
13-100137-2,378,378
13-100137-3,378,378
13-100137-4,378,378
13-1001231,504,504
13-1001231-2,504,504
13-1001231-3,504,504
13-1001231-4,504,504
13-1001360,546,546
13-1001360-2,546,546
